Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
Mumbai North West,Maharashtra,RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644.0,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),452596.0,48.0
Attingal,Kerala,ADV ADOOR PRAKASH,Indian National Congress,328051.0,V JOY,Communist Party of India  (Marxist),327367.0,684.0
Jajpur,Odisha,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,534239.0,SARMISTHA SETHI,Biju Janata Dal,532652.0,1587.0
JAIPUR RURAL,Rajasthan,RAO RAJENDRA SINGH,Bharatiya Janata Party,617877.0,ANIL CHOPRA,Indian National Congress,616262.0,1615.0
KANKER,Chhattisgarh,BHOJRAJ NAG,Bharatiya Janata Party,597624.0,BIRESH THAKUR,Indian National Congress,595740.0,1884.0
Chandigarh,Chandigarh,MANISH TEWARI,Indian National Congress,216657.0,SANJAY TANDON,Bharatiya Janata Party,214153.0,2504.0
Hamirpur,Uttar Pradesh,AJENDRA SINGH LODHI,Samajwadi Party,490683.0,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,488054.0,2629.0
Lakshadweep,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25726.0,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,23079.0,2647.0
Farrukhabad,Uttar Pradesh,MUKESH RAJPUT,Bharatiya Janata Party,487963.0,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,485285.0,2678.0
Bansgaon,Uttar Pradesh,KAMLESH PASWAN,Bharatiya Janata Party,428693.0,SADAL PRASAD,Indian National Congress,425543.0,3150.0
Firozpur,Punjab,SHER SINGH GHUBAYA,Indian National Congress,266626.0,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,263384.0,3242.0
Salempur,Uttar Pradesh,RAMASHANKAR RAJBHAR,Samajwadi Party,405472.0,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,401899.0,3573.0
Dhule,Maharashtra,BACHHAV SHOBHA DINESH,Indian National Congress,583866.0,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,580035.0,3831.0
Phulpur,Uttar Pradesh,PRAVEEN PATEL,Bharatiya Janata Party,452600.0,AMAR NATH SINGH MAURYA,Samajwadi Party,448268.0,4332.0
VIRUDHUNAGAR,Tamil Nadu,MANICKAM TAGORE B,Indian National Congress,385256.0,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,380877.0,4379.0
Dhaurahra,Uttar Pradesh,ANAND BHADAURIYA,Samajwadi Party,443743.0,REKHA VERMA,Bharatiya Janata Party,439294.0,4449.0
Mahbubnagar,Telangana,ARUNA. D. K,Bharatiya Janata Party,510747.0,CHALLA VAMSHI CHAND REDDY,Indian National Congress,506247.0,4500.0
Bishnupur,West Bengal,KHAN SAUMITRA,Bharatiya Janata Party,680130.0,SUJATA MONDAL,All India Trinamool Congress,674563.0,5567.0
Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,PATEL UMESHBHAI BABUBHAI,Independent,42523.0,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,36298.0,6225.0
Arambagh,West Bengal,BAG MITALI,All India Trinamool Congress,712587.0,ARUP KANTI DIGAR,Bharatiya Janata Party,706188.0,6399.0
Beed,Maharashtra,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,683950.0,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,677397.0,6553.0
Balurghat,West Bengal,SUKANTA MAJUMDAR,Bharatiya Janata Party,574996.0,BIPLAB MITRA,All India Trinamool Congress,564610.0,10386.0
Meerut,Uttar Pradesh,ARUN GOVIL,Bharatiya Janata Party,546469.0,SUNITA VERMA,Samajwadi Party,535884.0,10585.0
Anandpur Sahib,Punjab,MALVINDER SINGH KANG,Aam Aadmi Party,313217.0,VIJAY INDER SINGLA,Indian National Congress,302371.0,10846.0
Mavelikkara,Kerala,KODIKUNNIL SURESH,Indian National Congress,369516.0,ADV ARUN KUMAR C A,Communist Party of India,358648.0,10868.0
Hatkanangale,Maharashtra,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,520190.0,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),506764.0,13426.0
South Goa,Goa,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,217836.0,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,204301.0,13535.0
Saran,Bihar,RAJIV PRATAP RUDY,Bharatiya Janata Party,471752.0,ROHINI ACHARYA,Rashtriya Janata Dal,458091.0,13661.0
Thirupathi,Andhra Pradesh,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,632228.0,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,617659.0,14569.0
Patiala,Punjab,DR DHARAMVIRA GANDHI,Indian National Congress,305616.0,DR BALBIR SINGH,Aam Aadmi Party,290785.0,14831.0
Aligarh,Uttar Pradesh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,501834.0,BIJENDRA SINGH,Samajwadi Party,486187.0,15647.0
Aonla,Uttar Pradesh,NEERAJ MAURYA,Samajwadi Party,492515.0,DHARMENDRA KASHYAP,Bharatiya Janata Party,476546.0,15969.0
Thiruvananthapuram,Kerala,SHASHI THAROOR,Indian National Congress,358155.0,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,342078.0,16077.0
Mumbai North Central,Maharashtra,GAIKWAD VARSHA EKNATH,Indian National Congress,445545.0,ADV UJWAL NIKAM,Bharatiya Janata Party,429031.0,16514.0
Purulia,West Bengal,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,578489.0,SHANTIRAM MAHATO,All India Trinamool Congress,561410.0,17079.0
JHUNJHUNU,Rajasthan,BRIJENDRA SINGH OLA,Indian National Congress,553168.0,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,534933.0,18235.0
Karimganj,Assam,KRIPANATH MALLAH,Bharatiya Janata Party,545093.0,HAFIZ RASHID AHMED CHOUDHURY,Indian National Congress,526733.0,18360.0
Sasaram,Bihar,MANOJ KUMAR,Indian National Congress,513004.0,SHIVESH KUMAR,Bharatiya Janata Party,493847.0,19157.0
Amravati,Maharashtra,BALWANT BASWANT WANKHADE,Indian National Congress,526271.0,NAVNEET RAVI RANA,Bharatiya Janata Party,506540.0,19731.0
Araria,Bihar,PRADEEP KUMAR SINGH,Bharatiya Janata Party,600146.0,SHAHNAWAZ,Rashtriya Janata Dal,580052.0,20094.0
Alathur,Kerala,K.RADHAKRISHNAN,Communist Party of India  (Marxist),403447.0,RAMYA HARIDAS,Indian National Congress,383336.0,20111.0
Ludhiana,Punjab,AMRINDER SINGH RAJA WARRING,Indian National Congress,322224.0,RAVNEET SINGH BITTU,Bharatiya Janata Party,301282.0,20942.0
Kanpur,Uttar Pradesh,RAMESH AWASTHI,Bharatiya Janata Party,443055.0,ALOK MISRA,Indian National Congress,422087.0,20968.0
DHARMAPURI,Tamil Nadu,MANI. A.,Dravida Munnetra Kazhagam,432667.0,SOWMIYA ANBUMANI,Pattali Makkal Katchi,411367.0,21300.0
Kandhamal,Odisha,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,416415.0,ACHYUTANANDA SAMANTA,Biju Janata Dal,395044.0,21371.0
Chandauli,Uttar Pradesh,BIRENDRA SINGH,Samajwadi Party,474476.0,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,452911.0,21565.0
SONIPAT,Haryana,SATPAL BRAHAMCHARI,Indian National Congress,548682.0,MOHAN LAL BADOLI,Bharatiya Janata Party,526866.0,21816.0
Dumka,Jharkhand,NALIN SOREN,Jharkhand Mukti Morcha,547370.0,SITA MURMU,Bharatiya Janata Party,524843.0,22527.0
Purnia,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,567556.0,SANTOSH KUMAR,Janata Dal  (United),543709.0,23847.0
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,102436.0,KULDEEP RAI SHARMA,Indian National Congress,78040.0,24396.0
Muzaffarnagar,Uttar Pradesh,HARENDRA SINGH MALIK,Samajwadi Party,470721.0,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,446049.0,24672.0
Davanagere,Karnataka,DR. PRABHA MALLIKARJUN,Indian National Congress,633059.0,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,606965.0,26094.0
Medinipur,West Bengal,JUNE MALIAH,All India Trinamool Congress,702192.0,AGNIMITRA PAUL,Bharatiya Janata Party,675001.0,27191.0
Gulbarga,Karnataka,RADHAKRISHNA,Indian National Congress,652321.0,DR. UMESH G JADHAV,Bharatiya Janata Party,625116.0,27205.0
Hardoi,Uttar Pradesh,JAI PRAKASH,Bharatiya Janata Party,486798.0,USHA VERMA,Samajwadi Party,458942.0,27856.0
Ladakh,Ladakh,MOHMAD HANEEFA,Independent,65259.0,TSERING NAMGYAL,Indian National Congress,37397.0,27862.0
Etah,Uttar Pradesh,DEVESH SHAKYA,Samajwadi Party,475808.0,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,447756.0,28052.0
Amroha,Uttar Pradesh,KANWAR SINGH TANWAR,Bharatiya Janata Party,476506.0,KUNWAR DANISH ALI,Indian National Congress,447836.0,28670.0
Ahmednagar,Maharashtra,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,624797.0,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,595868.0,28929.0
KURUKSHETRA,Haryana,NAVEEN JINDAL,Bharatiya Janata Party,542175.0,DR SUSHIL GUPTA,Aam Aadmi Party,513154.0,29021.0
NAMAKKAL,Tamil Nadu,MATHESWARAN V S,Dravida Munnetra Kazhagam,462036.0,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,432924.0,29112.0
Sheohar,Bihar,LOVELY ANAND,Janata Dal  (United),476612.0,RITU JAISWAL,Rashtriya Janata Dal,447469.0,29143.0
Buldhana,Maharashtra,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,349867.0,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),320388.0,29479.0
Mumbai North East,Maharashtra,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),450937.0,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,421076.0,29861.0
Buxar,Bihar,SUDHAKAR SINGH,Rashtriya Janata Dal,438345.0,MITHILESH TIWARI,Bharatiya Janata Party,408254.0,30091.0
Banaskantha,Gujarat,GENIBEN NAGAJI THAKOR,Indian National Congress,671883.0,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,641477.0,30406.0
Arunachal East,Arunachal Pradesh,TAPIR GAO,Bharatiya Janata Party,145581.0,BOSIRAM SIRAM,Indian National Congress,115160.0,30421.0
Patan,Gujarat,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,591947.0,CHANDANJI TALAJI THAKOR,Indian National Congress,560071.0,31876.0
Bangalore central,Karnataka,P C MOHAN,Bharatiya Janata Party,658915.0,MANSOOR ALI KHAN,Indian National Congress,626208.0,32707.0
Satara,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,571134.0,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,538363.0,32771.0
Bankura,West Bengal,ARUP CHAKRABORTY,All India Trinamool Congress,641813.0,DR. SUBHAS SARKAR,Bharatiya Janata Party,609035.0,32778.0
Fatehpur,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,500328.0,NIRANJAN JYOTI,Bharatiya Janata Party,467129.0,33199.0
Misrikh,Uttar Pradesh,ASHOK KUMAR RAWAT,Bharatiya Janata Party,475016.0,SANGITA RAJVANSHI,Samajwadi Party,441610.0,33406.0
Fatehgarh Sahib,Punjab,AMAR SINGH,Indian National Congress,332591.0,GURPREET SINGH GP,Aam Aadmi Party,298389.0,34202.0
Kheri,Uttar Pradesh,UTKARSH VERMA  'MADHUR',Samajwadi Party,557365.0,AJAY KUMAR,Bharatiya Janata Party,523036.0,34329.0
Bareilly,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,567127.0,PRAVEEN SINGH ARON,Samajwadi Party,532323.0,34804.0
Deoria,Uttar Pradesh,SHASHANK MANI,Bharatiya Janata Party,504541.0,AKHILESH PRATAP SINGH,Indian National Congress,469699.0,34842.0
Badaun,Uttar Pradesh,ADITYA YADAV,Samajwadi Party,501855.0,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,466864.0,34991.0
Bhubaneswar,Odisha,APARAJITA SARANGI,Bharatiya Janata Party,512519.0,MANMATH KUMAR ROUTRAY,Biju Janata Dal,477367.0,35152.0
Maharajganj,Uttar Pradesh,PANKAJ CHAUDHARY,Bharatiya Janata Party,591310.0,VIRENDRA CHAUDHARY,Indian National Congress,555859.0,35451.0
Unnao,Uttar Pradesh,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,616133.0,ANNU TANDON,Samajwadi Party,580315.0,35818.0
Machhlishahr,Uttar Pradesh,PRIYA SAROJ,Samajwadi Party,451292.0,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,415442.0,35850.0
Bhandara Gondiya,Maharashtra,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,587413.0,SUNIL BABURAO MENDHE,Bharatiya Janata Party,550033.0,37380.0
Bijnor,Uttar Pradesh,CHANDAN CHAUHAN,Rashtriya Lok Dal,404493.0,DEEPAK,Samajwadi Party,366985.0,37508.0
Mirzapur,Uttar Pradesh,ANUPRIYA PATEL,Apna Dal (Soneylal),471631.0,RAMESH CHAND BIND,Samajwadi Party,433821.0,37810.0
Medak,Telangana,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,471217.0,NEELAM MADHU,Indian National Congress,432078.0,39139.0
Coochbehar,West Bengal,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,788375.0,NISITH PRAMANIK,Bharatiya Janata Party,749125.0,39250.0
Amritsar,Punjab,GURJEET SINGH AUJLA,Indian National Congress,255181.0,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,214880.0,40301.0
Akola,Maharashtra,ANUP SANJAY DHOTRE,Bharatiya Janata Party,457030.0,ABHAY KASHINATH PATIL,Indian National Congress,416404.0,40626.0
Jagatsinghpur,Odisha,BIBHU PRASAD TARAI,Bharatiya Janata Party,589093.0,DR. RAJASHREE MALLICK,Biju Janata Dal,548397.0,40696.0
BHIWANI,Haryana,DHARAMBIR SINGH,Bharatiya Janata Party,588664.0,RAO DAN SINGH,Indian National Congress,547154.0,41510.0
KOTA,Rajasthan,OM BIRLA,Bharatiya Janata Party,750496.0,PRAHLAD GUNJAL,Indian National Congress,708522.0,41974.0
North,NCT OF Delhi,YOGENDER CHANDOLIYA,Bharatiya Janata Party,866483.0,MANOJ TIWARI,Bharatiya Janata Party,824451.0,42032.0
NAGAUR,Rajasthan,HANUMAN BENIWAL,Rashtriya Loktantrik Party,596955.0,JYOTI MIRDHA,Bharatiya Janata Party,554730.0,42225.0
Hassan,Karnataka,SHREYAS. M. PATEL,Indian National Congress,672988.0,PRAJWAL REVANNA,Janata Dal  (Secular),630339.0,42649.0
Domariyaganj,Uttar Pradesh,JAGDAMBIKA PAL,Bharatiya Janata Party,463303.0,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,420575.0,42728.0
Sultanpur,Uttar Pradesh,RAMBHUAL NISHAD,Samajwadi Party,444330.0,MANEKA SANJAY GANDHI,Bharatiya Janata Party,401156.0,43174.0
KORBA,Chhattisgarh,JYOTSNA CHARANDAS MAHANT,Indian National Congress,570182.0,SAROJ PANDEY,Bharatiya Janata Party,526899.0,43283.0
Ballia,Uttar Pradesh,SANATAN PANDEY,Samajwadi Party,467068.0,NEERAJ SHEKHAR,Bharatiya Janata Party,423684.0,43384.0
Fatehpur Sikri,Uttar Pradesh,RAJKUMAR CHAHAR,Bharatiya Janata Party,445657.0,RAMNATH SINGH SIKARWAR,Indian National Congress,402252.0,43405.0
Haveri,Karnataka,BASAVARAJ BOMMAI,Bharatiya Janata Party,705538.0,ANANDSWAMY GADDADEVARMATH,Indian National Congress,662025.0,43513.0
Bhadohi,Uttar Pradesh,DR. VINOD KUMAR BIND,Bharatiya Janata Party,459982.0,LALITESHPATI TRIPATHI,All India Trinamool Congress,415910.0,44072.0
Hoshiarpur,Punjab,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,303859.0,YAMINI GOMAR,Indian National Congress,259748.0,44111.0
Akbarpur,Uttar Pradesh,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,517423.0,RAJARAM PAL,Samajwadi Party,473078.0,44345.0
RAJNANDGAON,Chhattisgarh,SANTOSH PANDEY,Bharatiya Janata Party,712057.0,BHUPESH BAGHEL,Indian National Congress,667646.0,44411.0
Zahirabad,Telangana,SURESH KUMAR SHETKAR,Indian National Congress,528418.0,B. B. PATIL,Bharatiya Janata Party,482230.0,46188.0
Gonda,Uttar Pradesh,KIRTIVARDHAN SINGH,Bharatiya Janata Party,474258.0,SHREYA VERMA,Samajwadi Party,428034.0,46224.0
Koppal,Karnataka,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,663511.0,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,617154.0,46357.0
Kanthi,West Bengal,ADHIKARI SOUMENDU,Bharatiya Janata Party,763195.0,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,715431.0,47764.0
Ratnagiri,Maharashtra,NARAYAN TATU RANE,Bharatiya Janata Party,448514.0,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),400656.0,47858.0
Chitradurga,Karnataka,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,684890.0,B.N.CHANDRAPPA,Indian National Congress,636769.0,48121.0
ALWAR,Rajasthan,BHUPENDER YADAV,Bharatiya Janata Party,631992.0,LALIT YADAV,Indian National Congress,583710.0,48282.0
AMBALA,Haryana,VARUN CHAUDHRY,Indian National Congress,663657.0,BANTO KATARIA,Bharatiya Janata Party,614621.0,49036.0
Bathinda,Punjab,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,376558.0,GURMEET SINGH KHUDIAN,Aam Aadmi Party,326902.0,49656.0
Katihar,Bihar,TARIQ ANWAR,Indian National Congress,567092.0,DULAL CHANDRA GOSWAMI,Janata Dal  (United),517229.0,49863.0
Secunderabad,Telangana,G. KISHAN REDDY,Bharatiya Janata Party,473012.0,DANAM NAGENDER,Indian National Congress,423068.0,49944.0
Ongole,Andhra Pradesh,MAGUNTA SREENIVASULU REDDY,Telugu Desam,701894.0,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,651695.0,50199.0
Shirdi,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),476900.0,LOKHANDE SADASHIV KISAN,Shiv Sena,426371.0,50529.0
Araku,Andhra Pradesh,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005.0,KOTHAPALLI GEETHA,Bharatiya Janata Party,426425.0,50580.0
Nagaland,Nagaland,S SUPONGMEREN JAMIR,Indian National Congress,401951.0,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,350967.0,50984.0
Sitamarhi,Bihar,DEVESH CHANDRA THAKUR,Janata Dal  (United),515719.0,ARJUN RAY,Rashtriya Janata Dal,464363.0,51356.0
Kokrajhar,Assam,JOYANTA BASUMATARY,"United People’s Party, Liberal",488995.0,KAMPA BORGOYARI,Bodoland Peoples Front,437412.0,51583.0
BHARATPUR,Rajasthan,SANJNA JATAV,Indian National Congress,579890.0,RAMSWAROOP KOLI,Bharatiya Janata Party,527907.0,51983.0
MORENA,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,515477.0,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,462947.0,52530.0
Mumbai South,Maharashtra,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),395655.0,YAMINI YASHWANT JADHAV,Shiv Sena,342982.0,52673.0
Mumbai South Central,Maharashtra,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),395138.0,RAHUL RAMESH SHEWALE,Shiv Sena,341754.0,53384.0
KALLAKURICHI,Tamil Nadu,MALAIYARASAN D,Dravida Munnetra Kazhagam,561589.0,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,507805.0,53784.0
Jalaun,Uttar Pradesh,NARAYAN DAS AHIRWAR,Samajwadi Party,530180.0,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,476282.0,53898.0
Faizabad,Uttar Pradesh,AWADHESH PRASAD,Samajwadi Party,554289.0,LALLU SINGH,Bharatiya Janata Party,499722.0,54567.0
BASTAR,Chhattisgarh,MAHESH KASHYAP,Bharatiya Janata Party,458398.0,KAWASI LAKHMA,Indian National Congress,403153.0,55245.0
Shahjahanpur,Uttar Pradesh,ARUN KUMAR SAGAR,Bharatiya Janata Party,592718.0,JYOTSNA GOND,Samajwadi Party,537339.0,55379.0
BIKANER,Rajasthan,ARJUN RAM MEGHWAL,Bharatiya Janata Party,566737.0,GOVINDRAM MEGHWAL,Indian National Congress,511026.0,55711.0
Krishnanagar,West Bengal,MAHUA MOITRA,All India Trinamool Congress,628789.0,AMRITA ROY,Bharatiya Janata Party,572084.0,56705.0
Cuttack,Odisha,BHARTRUHARI MAHTAB,Bharatiya Janata Party,531601.0,SANTRUPT MISRA,Biju Janata Dal,474524.0,57077.0
Dadar & Nagar Haveli,Dadra & Nagar Haveli and Daman & Diu,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,121074.0,AJIT RAMJIBHAI MAHALA,Indian National Congress,63490.0,57584.0
Etawah,Uttar Pradesh,JITENDRA KUMAR DOHARE,Samajwadi Party,490747.0,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,432328.0,58419.0
