Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
KARNAL,Haryana,MANOHAR LAL,Bharatiya Janata Party,739285.0,DIVYANSHU BUDHIRAJA,Indian National Congress,506708.0,232577.0
TIRUVANNAMALAI,Tamil Nadu,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379.0,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,313448.0,233931.0
Almora,Uttarakhand,AJAY TAMTA,Bharatiya Janata Party,429167.0,PRADEEP TAMTA,Indian National Congress,195070.0,234097.0
Muzaffarpur,Bihar,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,619749.0,AJAY NISHAD,Indian National Congress,384822.0,234927.0
Ponnani,Kerala,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,562516.0,K.S HAMZA,Communist Party of India  (Marxist),326756.0,235760.0
ERODE,Tamil Nadu,K E PRAKASH,Dravida Munnetra Kazhagam,562339.0,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,325773.0,236566.0
DAUSA,Rajasthan,MURARI LAL MEENA,Indian National Congress,646266.0,KANHAIYA LAL MEENA,Bharatiya Janata Party,408926.0,237340.0
Jamnagar,Gujarat,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,620049.0,ADVOCATE J. P. MARAVIYA,Indian National Congress,382041.0,238008.0
Rajahmundry,Andhra Pradesh,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515.0,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,487376.0,239139.0
RAIGARH,Chhattisgarh,RADHESHYAM RATHIYA,Bharatiya Janata Party,808275.0,DR. MENKA DEVI SINGH,Indian National Congress,567884.0,240391.0
NILGIRIS,Tamil Nadu,RAJA A,Dravida Munnetra Kazhagam,473212.0,DR MURUGAN L,Bharatiya Janata Party,232627.0,240585.0
Shimoga,Karnataka,B.Y.RAGHAVENDRA,Bharatiya Janata Party,778721.0,GEETHA SHIVARAJKUMAR,Indian National Congress,535006.0,243715.0
CHENNAI CENTRAL,Tamil Nadu,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,413848.0,VINOJ,Bharatiya Janata Party,169159.0,244689.0
PALI,Rajasthan,P. P. CHAUDHARY,Bharatiya Janata Party,757389.0,SANGEETA BENIWAL,Indian National Congress,512038.0,245351.0
Nellore,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202.0,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,520300.0,245902.0
BANSWARA,Rajasthan,RAJ KUMAR ROAT,Bharat Adivasi Party,820831.0,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,573777.0,247054.0
Hathras,Uttar Pradesh,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,554746.0,JASVEER VALMIKI,Samajwadi Party,307428.0,247318.0
Kaziranga,Assam,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,897043.0,ROSELINA TIRKEY,Indian National Congress,648096.0,248947.0
Vizianagaram,Andhra Pradesh,APPALANAIDU KALISETTI,Telugu Desam,743113.0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,493762.0,249351.0
Ernakulam,Kerala,HIBI EDEN,Indian National Congress,482317.0,K. J. SHINE TEACHER,Communist Party of India  (Marxist),231932.0,250385.0
Guwahati,Assam,BIJULI KALITA  MEDHI,Bharatiya Janata Party,894887.0,MIRA BORTHAKUR GOSWAMI,Indian National Congress,643797.0,251090.0
Jalgaon,Maharashtra,SMITA UDAY WAGH,Bharatiya Janata Party,674428.0,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),422834.0,251594.0
Bargarh,Odisha,PRADEEP PUROHIT,Bharatiya Janata Party,716359.0,PARINITA MISHRA,Biju Janata Dal,464692.0,251667.0
KANGRA,Himachal Pradesh,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,632793.0,ANAND SHARMA,Indian National Congress,380898.0,251895.0
POLLACHI,Tamil Nadu,ESWARASAMY K,Dravida Munnetra Kazhagam,533377.0,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,281335.0,252042.0
Jadavpur,West Bengal,SAYANI GHOSH,All India Trinamool Congress,717899.0,DR. ANIRBAN GANGULY,Bharatiya Janata Party,459698.0,258201.0
Udupi Chikmagalur,Karnataka,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,732234.0,K. JAYAPRAKASH HEGDE,Indian National Congress,473059.0,259175.0
Bangalore North,Karnataka,SHOBHA KARANDLAJE,Bharatiya Janata Party,986049.0,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,726573.0,259476.0
Jamshedpur,Jharkhand,BIDYUT BARAN MAHATO,Bharatiya Janata Party,726174.0,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,466392.0,259782.0
Chandrapur,Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,718410.0,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,458004.0,260406.0
UDAIPUR,Rajasthan,MANNA LAL RAWAT,Bharatiya Janata Party,738286.0,TARACHAND MEENA,Indian National Congress,476678.0,261608.0
Surendranagar,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,669749.0,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,408132.0,261617.0
Silchar,Assam,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,652405.0,SURYA KANTA SARKAR,Indian National Congress,388094.0,264311.0
SIRSA,Haryana,SELJA,Indian National Congress,733823.0,ASHOK TANWAR,Bharatiya Janata Party,465326.0,268497.0
Kachchh,Gujarat,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,659574.0,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,390792.0,268782.0
Bangalore Rural,Karnataka,DR C N MANJUNATH,Bharatiya Janata Party,1079002.0,D K SURESH,Indian National Congress,809355.0,269647.0
KHANDWA,Madhya Pradesh,GYANESHWAR PATIL,Bharatiya Janata Party,862679.0,NARENDRA PATEL,Indian National Congress,592708.0,269971.0
MAYILADUTHURAI,Tamil Nadu,SUDHA R,Indian National Congress,518459.0,BABU P,All India Anna Dravida Munnetra Kazhagam,247276.0,271183.0
Agra,Uttar Pradesh,PROF S P SINGH BAGHEL,Bharatiya Janata Party,599397.0,SURESH CHAND KARDAM,Samajwadi Party,328103.0,271294.0
Raver,Maharashtra,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,630879.0,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,358696.0,272183.0
Tehri Garhwal,Uttarakhand,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,462603.0,JOT SINGH GUNSOLA,Indian National Congress,190110.0,272493.0
Bulandshahr,Uttar Pradesh,DR BHOLA SINGH,Bharatiya Janata Party,597310.0,SHIVRAM,Indian National Congress,322176.0,275134.0
Hazaribagh,Jharkhand,MANISH JAISWAL,Bharatiya Janata Party,654613.0,JAI PRAKASH BHAI PATEL,Indian National Congress,377927.0,276686.0
Narsapuram,Andhra Pradesh,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,707343.0,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,430541.0,276802.0
Bangalore South,Karnataka,TEJASVI SURYA,Bharatiya Janata Party,750830.0,SOWMYA REDDY,Indian National Congress,473747.0,277083.0
THENI,Tamil Nadu,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,571493.0,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,292668.0,278825.0
Dibrugarh,Assam,SARBANANDA SONOWAL,Bharatiya Janata Party,693762.0,LURINJYOTI GOGOI,Assam Jatiya Parishad,414441.0,279321.0
ANANTNAG,Jammu and Kashmir,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,521836.0,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,240042.0,281794.0
Vijayawada,Andhra Pradesh,KESINENI SIVANATH (CHINNI),Telugu Desam,794154.0,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,512069.0,282085.0
Mandya,Karnataka,H.D. KUMARASWAMY,Janata Dal  (Secular),851881.0,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,567261.0,284620.0
Ahmedabad West,Gujarat,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,611704.0,BHARAT YOGENDRA MAKWANA,Indian National Congress,325267.0,286437.0
Palamau,Jharkhand,VISHNU DAYAL RAM,Bharatiya Janata Party,770362.0,MAMTA BHUIYAN,Rashtriya Janata Dal,481555.0,288807.0
Mathura,Uttar Pradesh,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,510064.0,MUKESH DHANGAR,Indian National Congress,216657.0,293407.0
Anakapalle,Andhra Pradesh,C.M.RAMESH,Bharatiya Janata Party,762069.0,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,465539.0,296530.0
Malappuram,Kerala,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,644006.0,V. VASEEF,Communist Party of India  (Marxist),343888.0,300118.0
ARAKKONAM,Tamil Nadu,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,563216.0,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,256657.0,306559.0
TIRUCHIRAPPALLI,Tamil Nadu,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,542213.0,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,229119.0,313094.0
THANJAVUR,Tamil Nadu,MURASOLI S,Dravida Munnetra Kazhagam,502245.0,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182662.0,319583.0
Amreli,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,580872.0,JENNY THUMMAR,Indian National Congress,259804.0,321068.0
Bolpur,West Bengal,ASIT KUMAR MAL,All India Trinamool Congress,855633.0,PIYA SAHA,Bharatiya Janata Party,528380.0,327253.0
Srikakulam,Andhra Pradesh,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328.0,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,426427.0,327901.0
Mahesana,Gujarat,HARIBHAI PATEL,Bharatiya Janata Party,686406.0,RAMJI THAKOR,Indian National Congress,358360.0,328046.0
Darrang,Assam,DILIP SAIKIA,Bharatiya Janata Party,868387.0,MADHAB RAJBANGSHI,Indian National Congress,539375.0,329012.0
Osmanabad,Maharashtra,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752.0,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,418906.0,329846.0
AJMER,Rajasthan,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,747462.0,RAMCHANDRA CHOUDHARY,Indian National Congress,417471.0,329991.0
Dhanbad,Jharkhand,DULU MAHATO,Bharatiya Janata Party,789172.0,ANUPAMA SINGH,Indian National Congress,457589.0,331583.0
JAIPUR,Rajasthan,MANJU SHARMA,Bharatiya Janata Party,886850.0,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,555083.0,331767.0
Basirhat,West Bengal,SK NURUL ISLAM,All India Trinamool Congress,803762.0,REKHA PATRA,Bharatiya Janata Party,470215.0,333547.0
Dahod,Gujarat,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,688715.0,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,355038.0,333677.0
Nainital,Uttarakhand,AJAY BHATT,Bharatiya Janata Party,772671.0,PRAKASH JOSHI,Indian National Congress,438123.0,334548.0
Ghaziabad,Uttar Pradesh,ATUL GARG,Bharatiya Janata Party,854170.0,DOLLY SHARMA,Indian National Congress,517205.0,336965.0
Uttara Kannada,Karnataka,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,782495.0,DR. ANJALI NIMBALKAR,Indian National Congress,445067.0,337428.0
Hyderabad,Telangana,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,661981.0,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,323894.0,338087.0
CHENNAI NORTH,Tamil Nadu,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,497333.0,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,158111.0,339222.0
Amalapuram,Andhra Pradesh,G M HARISH (BALAYOGI),Telugu Desam,796981.0,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785.0,342196.0
Guntur,Andhra Pradesh,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,864948.0,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,520253.0,344695.0
ROHTAK,Haryana,DEEPENDER SINGH HOODA,Indian National Congress,783578.0,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,438280.0,345298.0
Mahabubabad,Telangana,BALRAM NAIK PORIKA,Indian National Congress,612774.0,KAVITHA MALOTH,Bharat Rashtra Samithi,263609.0,349165.0
BHILWARA,Rajasthan,DAMODAR AGARWAL,Bharatiya Janata Party,807640.0,C P JOSHI,Indian National Congress,453034.0,354606.0
Mumbai North,Maharashtra,PIYUSH GOYAL,Bharatiya Janata Party,680146.0,BHUSHAN PATIL,Indian National Congress,322538.0,357608.0
Kheda,Gujarat,DEVUSINH CHAUHAN,Bharatiya Janata Party,744435.0,KALUSINH DABHI,Indian National Congress,386677.0,357758.0
Sonitpur,Assam,RANJIT DUTTA,Bharatiya Janata Party,775788.0,PREMLAL GANJU,Indian National Congress,414380.0,361408.0
Wayanad,Kerala,RAHUL GANDHI,Indian National Congress,647445.0,ANNIE RAJA,Communist Party of India,283023.0,364422.0
JHALAWAR,Rajasthan,DUSHYANT SINGH,Bharatiya Janata Party,865376.0,URMILA JAIN “BHAYA”,Indian National Congress,494387.0,370989.0
Shillong,Meghalaya,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,571078.0,VINCENT H. PALA,Indian National Congress,199168.0,371910.0
UJJAIN,Madhya Pradesh,ANIL FIROJIYA,Bharatiya Janata Party,836104.0,MAHESH PARMAR,Indian National Congress,460244.0,375860.0
Kodarma,Jharkhand,ANNPURNA DEVI,Bharatiya Janata Party,791657.0,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),414643.0,377014.0
BETUL,Madhya Pradesh,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,848236.0,RAMU TEKAM,Indian National Congress,468475.0,379761.0
Porbandar,Gujarat,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,633118.0,LALIT VASOYA,Indian National Congress,249758.0,383360.0
PERAMBALUR,Tamil Nadu,ARUN NEHRU,Dravida Munnetra Kazhagam,603209.0,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,214102.0,389107.0
CHITTORGARH,Rajasthan,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,888202.0,ANJANA UDAILAL,Indian National Congress,498325.0,389877.0
Rae Bareli,Uttar Pradesh,RAHUL GANDHI,Indian National Congress,687649.0,DINESH PRATAP SINGH,Bharatiya Janata Party,297619.0,390030.0
Malkajgiri,Telangana,EATALA RAJENDER,Bharatiya Janata Party,991042.0,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,599567.0,391475.0
RAJSAMAND,Rajasthan,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,781203.0,DR. DAMODAR GURJAR,Indian National Congress,388980.0,392223.0
THOOTHUKKUDI,Tamil Nadu,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,540729.0,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,147991.0,392738.0
SHAHDOL,Madhya Pradesh,SMT. HIMADRI SINGH,Bharatiya Janata Party,711143.0,PHUNDE LAL SINGH MARKO,Indian National Congress,313803.0,397340.0
Chhota Udaipur,Gujarat,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,796589.0,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,397812.0,398777.0
TIKAMGARH,Madhya Pradesh,DR. VIRENDRA KUMAR,Bharatiya Janata Party,715050.0,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,311738.0,403312.0
DAMOH,Madhya Pradesh,RAHUL SINGH LODHI,Bharatiya Janata Party,709768.0,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,303342.0,406426.0
DEWAS,Madhya Pradesh,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,928941.0,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,503716.0,425225.0
HOSHANGABAD,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,812147.0,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,380451.0,431696.0
DURG,Chhattisgarh,VIJAY BAGHEL,Bharatiya Janata Party,956497.0,RAJENDRA SAHU,Indian National Congress,518271.0,438226.0
DINDIGUL,Tamil Nadu,SACHITHANANTHAM R,Communist Party of India  (Marxist),670149.0,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,226328.0,443821.0
Bhavnagar,Gujarat,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,716883.0,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,261594.0,455289.0
Ahmedabad East,Gujarat,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,770459.0,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,308704.0,461755.0
Khammam,Telangana,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,766929.0,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,299082.0,467847.0
Joynagar,West Bengal,PRATIMA MONDAL,All India Trinamool Congress,894312.0,ASHOK KANDARY,Bharatiya Janata Party,424093.0,470219.0
SAGAR,Madhya Pradesh,DR. LATA WANKHEDE,Bharatiya Janata Party,787979.0,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,316757.0,471222.0
Rajkot,Gujarat,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,857984.0,DHANANI PARESH,Indian National Congress,373724.0,484260.0
JABALPUR,Madhya Pradesh,ASHISH DUBEY,Bharatiya Janata Party,790133.0,DINESH YADAV,Indian National Congress,303459.0,486674.0
Tripura East,Tripura,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,777447.0,RAJENDRA REANG,Communist Party of India  (Marxist),290628.0,486819.0
SRIPERUMBUDUR,Tamil Nadu,T R BAALU,Dravida Munnetra Kazhagam,758611.0,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,271582.0,487029.0
MANDSOUR,Madhya Pradesh,SUDHEER GUPTA,Bharatiya Janata Party,945761.0,DILIP SINGH GURJAR,Indian National Congress,445106.0,500655.0
BHOPAL,Madhya Pradesh,ALOK SHARMA,Bharatiya Janata Party,981109.0,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,479610.0,501499.0
Visakhapatnam,Andhra Pradesh,SRIBHARAT MATHUKUMILI,Telugu Desam,907467.0,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,403220.0,504247.0
Panchmahal,Gujarat,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,794579.0,GULABSINH SOMSINH CHAUHAN,Indian National Congress,285237.0,509342.0
GUNA,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,923302.0,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,382373.0,540929.0
KHAJURAHO,Madhya Pradesh,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,772774.0,KAMLESH KUMAR,Bahujan Samaj Party,231545.0,541229.0
Gautam Buddha Nagar,Uttar Pradesh,DR. MAHESH SHARMA,Bharatiya Janata Party,857829.0,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,298357.0,559472.0
Nalgonda,Telangana,KUNDURU RAGHUVEER,Indian National Congress,784337.0,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,224432.0,559905.0
TIRUVALLUR,Tamil Nadu,Sasikanth Senthil,Indian National Congress,796956.0,"Balaganapathy, V. Pon",Bharatiya Janata Party,224801.0,572155.0
RAIPUR,Chhattisgarh,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1050351.0,VIKAS UPADHYAY,Indian National Congress,475066.0,575285.0
Vadodara,Gujarat,DR. HEMANG JOSHI,Bharatiya Janata Party,873189.0,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,291063.0,582126.0
Tripura West,Tripura,BIPLAB KUMAR DEB,Bharatiya Janata Party,881341.0,ASISH KUMAR SAHA,Indian National Congress,269763.0,611578.0
Diamond harbour,West Bengal,ABHISHEK BANERJEE,All India Trinamool Congress,1048230.0,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,337300.0,710930.0
Gandhinagar,Gujarat,AMIT SHAH,Bharatiya Janata Party,1010972.0,SONAL RAMANBHAI PATEL,Indian National Congress,266256.0,744716.0
Navsari,Gujarat,C R PATIL,Bharatiya Janata Party,1031065.0,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,257514.0,773551.0
VIDISHA,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1116460.0,PRATAPBHANU SHARMA,Indian National Congress,295052.0,821408.0
INDORE,Madhya Pradesh,SHANKAR LALWANI,Bharatiya Janata Party,1226751.0,NOTA,None of the Above,218674.0,1008077.0
Dhubri,Assam,RAKIBUL HUSSAIN,Indian National Congress,1471885.0,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,459409.0,1012476.0
Surat,Gujarat,MUKESHKUMAR CHANDRAKAANT DALAL ( Uncontested ),Bharatiya Janata Party,0.0,,,,
Maharajganj,Bihar,,,,,,,
Aurangabad,Maharashtra,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,476130.0,,,,
Aurangabad,Bihar,,,,ABHAY KUMAR SINHA,Rashtriya Janata Dal,465567.0,
