State,Constituency,Candidate,Party,Votes,Rnk
NCT OF Delhi,GANDHI NAGAR,ANIL KUMAR BAJPAI,Aam Aadmi Party,50946,1
NCT OF Delhi,GANDHI NAGAR,JITENDER,Bharatiya Janata Party,43464,2
NCT OF Delhi,HARI NAGAR,JAGDEEP SINGH,Aam Aadmi Party,65814,1
NCT OF Delhi,HARI NAGAR,AVTAR SINGH HIT,Bharatiya Janata Party,39318,2
NCT OF Delhi,TRILOKPURI,RAJU DHINGAN,Aam Aadmi Party,74907,1
NCT OF Delhi,TRILOKPURI,KIRAN VAIDYA,Bharatiya Janata Party,45153,2
NCT OF Delhi,AMBEDKAR NAGAR,AJAY DUTT,Aam Aadmi Party,66632,1
NCT OF Delhi,AMBEDKAR NAGAR,ASHOK KUMAR,Bharatiya Janata Party,24172,2
NCT OF Delhi,BADLI,AJESH YADAV,Aam Aadmi Party,72795,1
NCT OF Delhi,BADLI,DEVENDER YADAV,Indian National Congress,37419,2
NCT OF Delhi,BIJWASAN,COL DEVINDER SEHRAWAT,Aam Aadmi Party,65006,1
NCT OF Delhi,BIJWASAN,SAT PRAKASH RANA,Bharatiya Janata Party,45470,2
NCT OF Delhi,JANAKPURI,RAJESH RISHI,Aam Aadmi Party,71802,1
NCT OF Delhi,JANAKPURI,PROF. JAGDISH MUKHI,Bharatiya Janata Party,46222,2
NCT OF Delhi,KASTURBA NAGAR,MADAN LAL,Aam Aadmi Party,50766,1
NCT OF Delhi,KASTURBA NAGAR,RAVINDER  CHOUDHRY,Bharatiya Janata Party,34870,2
NCT OF Delhi,VIKASPURI,MAHINDER YADAV,Aam Aadmi Party,132437,1
NCT OF Delhi,VIKASPURI,SANJAY SINGH,Bharatiya Janata Party,54772,2
NCT OF Delhi,CHANDNI CHOWK,ALKA  LAMBA,Aam Aadmi Party,36756,1
NCT OF Delhi,CHANDNI CHOWK,SUMAN KUMAR GUPTA,Bharatiya Janata Party,18469,2
NCT OF Delhi,DELHI CANTT,SURENDER SINGH,Aam Aadmi Party,40133,1
NCT OF Delhi,DELHI CANTT,KARAN SINGH TANWAR,Bharatiya Janata Party,28935,2
NCT OF Delhi,KIRARI,RITURAJ GOVIND,Aam Aadmi Party,97727,1
NCT OF Delhi,KIRARI,ANIL JHA,Bharatiya Janata Party,52555,2
NCT OF Delhi,NERELA,SHARAD KUMAR,Aam Aadmi Party,96143,1
NCT OF Delhi,NERELA,NEEL DAMAN KHATRI,Bharatiya Janata Party,55851,2
NCT OF Delhi,PALAM,BHAVNA GAUR,Aam Aadmi Party,82637,1
NCT OF Delhi,PALAM,DHRAM DEV SOLANKI,Bharatiya Janata Party,51788,2
NCT OF Delhi,TIMARPUR,PANKAJ PUSHKAR,Aam Aadmi Party,64477,1
NCT OF Delhi,TIMARPUR,RAJNI ABBI,Bharatiya Janata Party,43830,2
NCT OF Delhi,GHONDA,SHRI DUTT SHARMA,Aam Aadmi Party,60906,1
NCT OF Delhi,GHONDA,SAHAB SINGH CHAUHAN,Bharatiya Janata Party,52813,2
NCT OF Delhi,MANGOL PURI,RAKHI BIRLA,Aam Aadmi Party,60534,1
NCT OF Delhi,MANGOL PURI,RAJ KUMAR CHAUHAN,Indian National Congress,37835,2
NCT OF Delhi,MOTI NAGAR,SHIV CHARAN GOEL,Aam Aadmi Party,60223,1
NCT OF Delhi,MOTI NAGAR,SUBHASH SACHDEVA,Bharatiya Janata Party,45002,2
NCT OF Delhi,MUNDKA,SUKHVIR SINGH,Aam Aadmi Party,94206,1
NCT OF Delhi,MUNDKA,AZAD SINGH,Bharatiya Janata Party,53380,2
NCT OF Delhi,SHAKUR BASTI,SATYENDAR JAIN,Aam Aadmi Party,51530,1
NCT OF Delhi,SHAKUR BASTI,S C VATS,Bharatiya Janata Party,48397,2
NCT OF Delhi,BABARPUR,GOPAL RAI,Aam Aadmi Party,75928,1
NCT OF Delhi,BABARPUR,NARESH GAUR,Bharatiya Janata Party,40440,2
NCT OF Delhi,DEOLI,PRAKASH,Aam Aadmi Party,96530,1
NCT OF Delhi,DEOLI,ARVIND KUMAR,Bharatiya Janata Party,32593,2
NCT OF Delhi,KARAWAL NAGAR,KAPIL MISHRA,Aam Aadmi Party,101865,1
NCT OF Delhi,KARAWAL NAGAR,MOHAN SINGH BISHT,Bharatiya Janata Party,57434,2
NCT OF Delhi,MODEL TOWN,AKHILESH PATI TRIPATHI,Aam Aadmi Party,54628,1
NCT OF Delhi,MODEL TOWN,VIVEK  GARG,Bharatiya Janata Party,37922,2
NCT OF Delhi,BURARI,SANJEEV JHA,Aam Aadmi Party,124724,1
NCT OF Delhi,BURARI,GOPAL JHA,Bharatiya Janata Party,56774,2
NCT OF Delhi,KAROL BAGH,VISHESH RAVI,Aam Aadmi Party,67429,1
NCT OF Delhi,KAROL BAGH,YOGENDER CHANDOLIYA,Bharatiya Janata Party,34549,2
NCT OF Delhi,ROHTAS NAGAR,SARITA SINGH,Aam Aadmi Party,62209,1
NCT OF Delhi,ROHTAS NAGAR,JITENDER MAHAJAN,Bharatiya Janata Party,54335,2
NCT OF Delhi,TILAK NAGAR,JARNAIL SINGH,Aam Aadmi Party,57180,1
NCT OF Delhi,TILAK NAGAR,RAJIV BABBAR,Bharatiya Janata Party,37290,2
NCT OF Delhi,TRI NAGAR,JITENDER SINGH TOMAR,Aam Aadmi Party,63012,1
NCT OF Delhi,TRI NAGAR,NAND KISHORE GARG,Bharatiya Janata Party,40701,2
NCT OF Delhi,TUGHLAKABAD,SAHI RAM,Aam Aadmi Party,64311,1
NCT OF Delhi,TUGHLAKABAD,VIKRAM BIDHURI,Bharatiya Janata Party,30610,2
NCT OF Delhi,MUSTAFABAD,JAGDISH PRADHAN,Bharatiya Janata Party,58388,1
NCT OF Delhi,MUSTAFABAD,HASAN AHMED,Indian National Congress,52357,2
NCT OF Delhi,NAJAFGARH,KAILASH GAHLOT,Aam Aadmi Party,55598,1
NCT OF Delhi,NAJAFGARH,BHARAT SINGH,Indian National Lok Dal,54043,2
NCT OF Delhi,RITHALA,MOHINDER GOYAL,Aam Aadmi Party,93470,1
NCT OF Delhi,RITHALA,KULWANT RANA,Bharatiya Janata Party,64219,2
NCT OF Delhi,SEEMA PURI,RAJENDRA PAL GAUTAM,Aam Aadmi Party,79777,1
NCT OF Delhi,SEEMA PURI,KARAMVIR,Bharatiya Janata Party,30956,2
NCT OF Delhi,KONDLI,MANOJ KUMAR,Aam Aadmi Party,63185,1
NCT OF Delhi,KONDLI,HUKAM SINGH,Bharatiya Janata Party,38426,2
NCT OF Delhi,MEHRAULI,NARESH YADAV,Aam Aadmi Party,58125,1
NCT OF Delhi,MEHRAULI,SARITA CHAUDHARY,Bharatiya Janata Party,41174,2
NCT OF Delhi,SANGAM VIHAR,DINESH MOHANIYA,Aam Aadmi Party,72131,1
NCT OF Delhi,SANGAM VIHAR,SHIV CHARAN LAL GUPTA,Bharatiya Janata Party,28143,2
NCT OF Delhi,SHAHDARA,RAM NIWAS GOEL,Aam Aadmi Party,58523,1
NCT OF Delhi,SHAHDARA,JITENDER SINGH SHUNTY,Bharatiya Janata Party,46792,2
NCT OF Delhi,WAZIRPUR,RAJESH GUPTA,Aam Aadmi Party,61208,1
NCT OF Delhi,WAZIRPUR,DR. MAHANDER NAGPAL,Bharatiya Janata Party,39164,2
NCT OF Delhi,MALVIYA NAGAR,SOMNATH BHARTI,Aam Aadmi Party,51196,1
NCT OF Delhi,MALVIYA NAGAR,DR. NANDANI SHARMA,Bharatiya Janata Party,35299,2
NCT OF Delhi,RAJINDER NAGAR,VIJENDER GARG VIJAY,Aam Aadmi Party,61354,1
NCT OF Delhi,RAJINDER NAGAR,R. P. SINGH,Bharatiya Janata Party,41303,2
NCT OF Delhi,GREATER KAILASH,SAURABH BHARADWAJ,Aam Aadmi Party,57589,1
NCT OF Delhi,GREATER KAILASH,RAKESH KUMAR GULLAIYA,Bharatiya Janata Party,43006,2
NCT OF Delhi,MATIA MAHAL,ASIM AHMED KHAN,Aam Aadmi Party,47584,1
NCT OF Delhi,MATIA MAHAL,SHOAIB IQBAL,Indian National Congress,21488,2
NCT OF Delhi,NANGLOI JAT,RAGHUVINDER SHOKEEN,Aam Aadmi Party,83259,1
NCT OF Delhi,NANGLOI JAT,MANOJ KUMAR SHOKEEN,Bharatiya Janata Party,46235,2
NCT OF Delhi,RAJOURI GARDEN,JARNAIL SINGH,Aam Aadmi Party,54916,1
NCT OF Delhi,RAJOURI GARDEN,MANJINDER SINGH SIRSA,Shiromani Akali Dal,44880,2
NCT OF Delhi,KALKAJI,AVTAR SINGH KALKAJI,Aam Aadmi Party,55104,1
NCT OF Delhi,KALKAJI,HARMEET SINGH KALKA,Bharatiya Janata Party,35335,2
NCT OF Delhi,MATIALA,GULAB SINGH,Aam Aadmi Party,127665,1
NCT OF Delhi,MATIALA,RAJESH GAHLOT,Bharatiya Janata Party,80661,2
NCT OF Delhi,UTTAM NAGAR,NARESH BALYAN,Aam Aadmi Party,85881,1
NCT OF Delhi,UTTAM NAGAR,PAWAN SHARMA,Bharatiya Janata Party,55462,2
NCT OF Delhi,GOKALPUR,FATEH SINGH,Aam Aadmi Party,71240,1
NCT OF Delhi,GOKALPUR,RANJEET SINGH,Bharatiya Janata Party,39272,2
NCT OF Delhi,KRISHNA NAGAR,S K BAGGA  ADVOCATE,Aam Aadmi Party,65919,1
NCT OF Delhi,KRISHNA NAGAR,KIRAN BEDI,Bharatiya Janata Party,63642,2
NCT OF Delhi,MADIPUR,GIRISH SONI,Aam Aadmi Party,66571,1
NCT OF Delhi,MADIPUR,RAJ KUMAR,Bharatiya Janata Party,37184,2
NCT OF Delhi,PATEL NAGAR,HAZARI LAL CHAUHAN,Aam Aadmi Party,68868,1
NCT OF Delhi,PATEL NAGAR,KRISHNA TIRATH,Bharatiya Janata Party,34230,2
NCT OF Delhi,SEELAMPUR,MOHD. ISHRAQUE,Aam Aadmi Party,57302,1
NCT OF Delhi,SEELAMPUR,SANJAY JAIN,Bharatiya Janata Party,29415,2
NCT OF Delhi,ADARSH NAGAR,PAWAN KUMAR SHARMA,Aam Aadmi Party,54026,1
NCT OF Delhi,ADARSH NAGAR,RAM KISHAN SINGHAL,Bharatiya Janata Party,33285,2
NCT OF Delhi,NEW DELHI,ARVIND KEJRIWAL,Aam Aadmi Party,57213,1
NCT OF Delhi,NEW DELHI,NUPUR SHARMA,Bharatiya Janata Party,25630,2
NCT OF Delhi,PATPARGANJ,MANISH SISODIA,Aam Aadmi Party,75477,1
NCT OF Delhi,PATPARGANJ,VINOD KUMAR BINNY,Bharatiya Janata Party,46716,2
NCT OF Delhi,R K PURAM,PARMILA TOKAS,Aam Aadmi Party,54645,1
NCT OF Delhi,R K PURAM,ANIL KUMAR SHARMA,Bharatiya Janata Party,35577,2
NCT OF Delhi,ROHINI,VIJENDER KUMAR,Bharatiya Janata Party,59866,1
NCT OF Delhi,ROHINI,C.L. GUPTA,Aam Aadmi Party,54499,2
NCT OF Delhi,SADAR BAZAR,SOM DUTT,Aam Aadmi Party,67507,1
NCT OF Delhi,SADAR BAZAR,PARVEEN KUMAR JAIN,Bharatiya Janata Party,33192,2
NCT OF Delhi,SULTANPUR MAJRA,SANDEEP KUMAR,Aam Aadmi Party,80269,1
NCT OF Delhi,SULTANPUR MAJRA,PARBHU DAYAL,Bharatiya Janata Party,15830,2
NCT OF Delhi,JANGPURA,PRAVEEN KUMAR,Aam Aadmi Party,43927,1
NCT OF Delhi,JANGPURA,MANINDER SINGH DHIR,Bharatiya Janata Party,23477,2
NCT OF Delhi,LAXMI NAGAR,NITIN TYAGI,Aam Aadmi Party,58229,1
NCT OF Delhi,LAXMI NAGAR,B. B. TYAGI,Bharatiya Janata Party,53383,2
NCT OF Delhi,SHALIMAR BAGH,BANDANA KUMARI,Aam Aadmi Party,62656,1
NCT OF Delhi,SHALIMAR BAGH,REKHA GUPTA,Bharatiya Janata Party,51678,2
NCT OF Delhi,VISHWAS NAGAR,OM PRAKASH SHARMA,Bharatiya Janata Party,58124,1
NCT OF Delhi,VISHWAS NAGAR,DR. ATUL GUPTA,Aam Aadmi Party,47966,2
NCT OF Delhi,BAWANA,VED PARKASH,Aam Aadmi Party,109259,1
NCT OF Delhi,BAWANA,GUGAN SINGH,Bharatiya Janata Party,59236,2
NCT OF Delhi,CHHATARPUR,KARTAR SINGH TANWAR,Aam Aadmi Party,67645,1
NCT OF Delhi,CHHATARPUR,BRAHM SINGH TANWAR,Bharatiya Janata Party,45405,2
NCT OF Delhi,DWARKA,ADARSH SHASTRI,Aam Aadmi Party,79729,1
NCT OF Delhi,DWARKA,PARDUYMN RAJPUT,Bharatiya Janata Party,40363,2
NCT OF Delhi,OKHLA,AMANATULLAH KHAN,Aam Aadmi Party,104271,1
NCT OF Delhi,OKHLA,BRAHAM SINGH,Bharatiya Janata Party,39739,2
NCT OF Delhi,BADARPUR,NARAYAN DUTT SHARMA,Aam Aadmi Party,94242,1
NCT OF Delhi,BADARPUR,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,46659,2
NCT OF Delhi,BALLIMARAN,IMRAN HUSSAIN,Aam Aadmi Party,57118,1
NCT OF Delhi,BALLIMARAN,SHAYAM LAL MORWAL,Bharatiya Janata Party,23241,2
